timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-22 12:00:00,266.1,259.09
2025-01-22 13:00:00,267.3,260.32
2025-01-22 14:00:00,262.9,256.09
2025-01-22 15:00:00,264.4,257.3
2025-01-22 16:00:00,264.4,257.28
2025-01-22 17:00:00,266.4,259.27
2025-01-22 18:00:00,260.9,253.87
2025-01-22 19:00:00,272.6,265.29
2025-01-22 20:00:00,275.8,268.14
2025-01-22 21:00:00,269.6,262.45
2025-01-22 22:00:00,267.2,260.08
2025-01-22 23:00:00,264.6,257.36
2025-01-23 00:00:00,262.2,255.2
2025-01-23 01:00:00,260.3,253.18
2025-01-23 02:00:00,255.8,248.75
2025-01-23 03:00:00,255.6,248.85
2025-01-23 04:00:00,253.2,246.58
2025-01-23 05:00:00,256.2,249.33
2025-01-23 06:00:00,254.5,247.57
2025-01-23 07:00:00,256.4,249.53
2025-01-23 08:00:00,253.3,246.21
2025-01-23 09:00:00,253.9,247.08
2025-01-23 10:00:00,250.7,243.91
2025-01-23 11:00:00,251.3,244.19
2025-01-23 12:00:00,250.2,243.06
2025-01-23 13:00:00,253.9,246.78
2025-01-23 14:00:00,257.7,251.42
2025-01-23 15:00:00,256.3,249.39
2025-01-23 16:00:00,257.5,250.26
2025-01-23 17:00:00,259.3,252.25
2025-01-23 18:00:00,257.8,250.65
2025-01-23 19:00:00,253.5,246.84
2025-01-23 20:00:00,257.6,250.79
2025-01-23 21:00:00,253.0,245.9
2025-01-23 22:00:00,258.6,251.62
2025-01-23 23:00:00,260.7,253.11
2025-01-24 00:00:00,259.9,252.73
2025-01-24 01:00:00,257.4,250.08
2025-01-24 02:00:00,256.0,248.68
2025-01-24 03:00:00,259.9,252.23
2025-01-24 04:00:00,262.4,255.31
2025-01-24 05:00:00,268.8,261.31
2025-01-24 06:00:00,271.4,263.61
2025-01-24 07:00:00,267.2,259.7
2025-01-24 08:00:00,271.9,264.29
2025-01-24 09:00:00,271.5,263.82
2025-01-24 10:00:00,271.6,264.17
2025-01-24 11:00:00,274.5,266.82
2025-01-24 12:00:00,272.6,265.31
2025-01-24 13:00:00,274.4,266.88
2025-01-24 14:00:00,275.9,268.17
2025-01-24 15:00:00,269.8,262.28
2025-01-24 16:00:00,269.5,261.9
2025-01-24 17:00:00,272.2,264.53
2025-01-24 18:00:00,270.3,262.82
2025-01-24 19:00:00,269.3,262.06
2025-01-24 20:00:00,264.7,257.33
2025-01-24 21:00:00,265.0,257.61
2025-01-24 22:00:00,261.7,254.52
2025-01-24 23:00:00,260.5,253.37
2025-01-25 00:00:00,255.6,248.25
2025-01-25 01:00:00,259.3,251.86
2025-01-25 02:00:00,257.4,250.37
2025-01-25 03:00:00,260.1,252.74
2025-01-25 04:00:00,257.6,250.35
2025-01-25 05:00:00,256.1,248.74
2025-01-25 06:00:00,254.7,247.26
2025-01-25 07:00:00,254.6,247.28
2025-01-25 08:00:00,256.7,249.12
2025-01-25 09:00:00,255.6,247.92
2025-01-25 10:00:00,256.2,248.74
2025-01-25 11:00:00,257.3,249.97
2025-01-25 12:00:00,256.9,249.73
2025-01-25 13:00:00,257.6,250.35
2025-01-25 14:00:00,258.5,251.02
2025-01-25 15:00:00,261.3,253.68
2025-01-25 16:00:00,262.9,255.85
2025-01-25 17:00:00,265.3,257.88
2025-01-25 18:00:00,266.1,258.6
2025-01-25 19:00:00,265.9,258.5
2025-01-25 20:00:00,265.4,257.98
2025-01-25 21:00:00,265.4,258.21
2025-01-25 22:00:00,266.5,259.02
2025-01-25 23:00:00,263.9,256.41
2025-01-26 00:00:00,263.7,256.05
2025-01-26 01:00:00,262.2,254.93
2025-01-26 02:00:00,263.0,255.44
2025-01-26 03:00:00,266.0,258.42
2025-01-26 04:00:00,266.3,258.73
2025-01-26 05:00:00,265.4,257.75
2025-01-26 06:00:00,265.8,258.22
2025-01-26 07:00:00,266.4,258.95
2025-01-26 08:00:00,264.2,256.45
2025-01-26 09:00:00,262.4,254.9
2025-01-26 10:00:00,261.1,253.69
2025-01-26 11:00:00,263.2,255.59
2025-01-26 12:00:00,264.4,256.98
2025-01-26 13:00:00,262.7,255.23
2025-01-26 14:00:00,262.5,255.07
2025-01-26 15:00:00,262.1,254.58
2025-01-26 16:00:00,263.1,255.36
2025-01-26 17:00:00,263.8,256.21
2025-01-26 18:00:00,264.2,256.75
2025-01-26 19:00:00,263.7,256.28
2025-01-26 20:00:00,260.9,253.5
2025-01-26 21:00:00,256.6,249.22
2025-01-26 22:00:00,254.4,247.16
2025-01-26 23:00:00,247.6,240.5
2025-01-27 00:00:00,244.6,237.59
2025-01-27 01:00:00,242.9,235.82
2025-01-27 02:00:00,241.8,235.0
2025-01-27 03:00:00,242.4,235.8
2025-01-27 04:00:00,238.0,231.04
2025-01-27 05:00:00,238.8,232.05
2025-01-27 06:00:00,233.7,227.27
2025-01-27 07:00:00,234.2,227.53
2025-01-27 08:00:00,232.1,225.55
