timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-07 04:45:00,221.9,216.18
2025-01-07 05:00:00,221.4,216.0
2025-01-07 05:15:00,221.1,215.99
2025-01-07 05:30:00,221.3,215.97
2025-01-07 05:45:00,221.8,216.51
2025-01-07 06:00:00,221.2,216.05
2025-01-07 06:15:00,221.6,216.36
2025-01-07 06:30:00,221.5,216.41
2025-01-07 06:45:00,221.6,216.36
2025-01-07 07:00:00,221.8,216.51
2025-01-07 07:15:00,221.3,216.04
2025-01-07 07:30:00,220.9,215.84
2025-01-07 07:45:00,221.4,216.04
2025-01-07 08:00:00,220.8,215.55
2025-01-07 08:15:00,221.2,215.79
2025-01-07 08:30:00,221.8,216.47
2025-01-07 08:45:00,221.7,216.6
2025-01-07 09:00:00,221.4,216.22
2025-01-07 09:15:00,221.1,215.96
2025-01-07 09:30:00,220.7,215.51
2025-01-07 09:45:00,220.3,215.1
2025-01-07 10:00:00,219.6,214.62
2025-01-07 10:15:00,220.3,215.08
2025-01-07 10:30:00,220.6,215.15
2025-01-07 10:45:00,219.9,214.88
2025-01-07 11:00:00,220.0,214.87
2025-01-07 11:15:00,220.4,215.4
2025-01-07 11:30:00,218.9,213.79
2025-01-07 11:45:00,219.3,214.06
2025-01-07 12:00:00,218.4,213.15
2025-01-07 12:15:00,217.9,212.8
2025-01-07 12:30:00,218.3,213.24
2025-01-07 12:45:00,218.4,213.49
2025-01-07 13:00:00,218.5,213.49
2025-01-07 13:15:00,219.4,214.22
2025-01-07 13:30:00,219.5,214.27
2025-01-07 13:45:00,219.2,213.85
2025-01-07 14:00:00,218.7,213.43
2025-01-07 14:15:00,218.9,213.57
2025-01-07 14:30:00,218.4,213.2
2025-01-07 14:45:00,217.0,211.64
2025-01-07 15:00:00,213.2,208.17
2025-01-07 15:15:00,213.9,208.76
2025-01-07 15:30:00,211.6,206.43
2025-01-07 15:45:00,212.9,207.76
2025-01-07 16:00:00,212.7,207.73
2025-01-07 16:15:00,213.7,208.69
2025-01-07 16:30:00,213.7,208.74
2025-01-07 16:45:00,212.4,207.55
2025-01-07 17:00:00,212.8,207.63
2025-01-07 17:15:00,211.7,206.78
2025-01-07 17:30:00,210.9,206.0
2025-01-07 17:45:00,211.5,206.43
2025-01-07 18:00:00,211.7,206.77
2025-01-07 18:15:00,210.6,205.73
2025-01-07 18:30:00,210.1,205.1
2025-01-07 18:45:00,209.9,205.06
2025-01-07 19:00:00,210.2,205.27
2025-01-07 19:15:00,209.9,204.94
2025-01-07 19:30:00,209.9,204.84
2025-01-07 19:45:00,209.6,204.56
